지점,지점명,일시,기온(°C)
108,서울,2022-06-03 00:01,18.9
108,서울,2022-06-03 00:02,18.9
108,서울,2022-06-03 00:03,18.9
108,서울,2022-06-03 00:04,18.9
108,서울,2022-06-03 00:05,18.9
108,서울,2022-06-03 00:06,18.9
108,서울,2022-06-03 00:07,18.9
108,서울,2022-06-03 00:08,18.9
108,서울,2022-06-03 00:09,18.8
108,서울,2022-06-03 00:10,18.9
108,서울,2022-06-03 00:11,18.8
108,서울,2022-06-03 00:12,18.8
108,서울,2022-06-03 00:13,18.8
108,서울,2022-06-03 00:14,18.8
108,서울,2022-06-03 00:15,18.8
108,서울,2022-06-03 00:16,18.8
108,서울,2022-06-03 00:17,18.8
108,서울,2022-06-03 00:18,18.8
108,서울,2022-06-03 00:19,18.8
108,서울,2022-06-03 00:20,18.8
108,서울,2022-06-03 00:21,18.8
108,서울,2022-06-03 00:22,18.8
108,서울,2022-06-03 00:23,18.7
108,서울,2022-06-03 00:24,18.7
108,서울,2022-06-03 00:25,18.7
108,서울,2022-06-03 00:26,18.7
108,서울,2022-06-03 00:27,18.7
108,서울,2022-06-03 00:28,18.7
108,서울,2022-06-03 00:29,18.7
108,서울,2022-06-03 00:30,18.7
108,서울,2022-06-03 00:31,18.7
108,서울,2022-06-03 00:32,18.7
108,서울,2022-06-03 00:33,18.7
108,서울,2022-06-03 00:34,18.7
108,서울,2022-06-03 00:35,18.7
108,서울,2022-06-03 00:36,18.7
108,서울,2022-06-03 00:37,18.8
108,서울,2022-06-03 00:38,18.8
108,서울,2022-06-03 00:39,18.8
108,서울,2022-06-03 00:40,18.8
108,서울,2022-06-03 00:41,18.8
108,서울,2022-06-03 00:42,18.8
108,서울,2022-06-03 00:43,18.8
108,서울,2022-06-03 00:44,18.9
108,서울,2022-06-03 00:45,18.9
108,서울,2022-06-03 00:46,18.9
108,서울,2022-06-03 00:47,18.9
108,서울,2022-06-03 00:48,18.9
108,서울,2022-06-03 00:49,18.9
108,서울,2022-06-03 00:50,18.9
108,서울,2022-06-03 00:51,18.9
108,서울,2022-06-03 00:52,18.9
108,서울,2022-06-03 00:53,18.9
108,서울,2022-06-03 00:54,18.9
